datetime;consommation
2025-04-08 00:00:00;184
2025-04-08 23:30:00;342
2025-04-08 23:00:00;410
2025-04-08 22:30:00;432
2025-04-08 22:00:00;298
2025-04-08 21:30:00;332
2025-04-08 21:00:00;222
2025-04-08 20:30:00;242
2025-04-08 20:00:00;1598
2025-04-08 19:30:00;1600
2025-04-08 19:00:00;428
2025-04-08 18:30:00;0
2025-04-08 18:00:00;0
2025-04-08 17:30:00;0
2025-04-08 17:00:00;0
2025-04-08 16:30:00;0
2025-04-08 16:00:00;0
2025-04-08 15:30:00;0
2025-04-08 15:00:00;0
2025-04-08 14:30:00;0
2025-04-08 14:00:00;0
2025-04-08 13:30:00;0
2025-04-08 13:00:00;0
2025-04-08 12:30:00;0
2025-04-08 12:00:00;0
2025-04-08 11:30:00;0
2025-04-08 11:00:00;50
2025-04-08 10:30:00;36
2025-04-08 10:00:00;28
2025-04-08 09:30:00;2
2025-04-08 09:00:00;66
2025-04-08 08:30:00;282
2025-04-08 08:00:00;134
2025-04-08 07:30:00;116
2025-04-08 07:00:00;166
2025-04-08 06:30:00;94
2025-04-08 06:00:00;168
2025-04-08 05:30:00;196
2025-04-08 05:00:00;100
2025-04-08 04:30:00;206
2025-04-08 04:00:00;98
2025-04-08 03:30:00;130
2025-04-08 03:00:00;202
2025-04-08 02:30:00;158
2025-04-08 02:00:00;144
2025-04-08 01:30:00;122
2025-04-08 01:00:00;198
2025-04-08 00:30:00;120
2025-04-07 00:00:00;204
2025-04-07 23:30:00;166
2025-04-07 23:00:00;332
2025-04-07 22:30:00;354
2025-04-07 22:00:00;1618
2025-04-07 21:30:00;1506
2025-04-07 21:00:00;218
2025-04-07 20:30:00;388
2025-04-07 20:00:00;548
2025-04-07 19:30:00;74
2025-04-07 19:00:00;0
2025-04-07 18:30:00;0
2025-04-07 18:00:00;0
2025-04-07 17:30:00;0
2025-04-07 17:00:00;0
2025-04-07 16:30:00;142
2025-04-07 16:00:00;208
2025-04-07 15:30:00;54
2025-04-07 15:00:00;0
2025-04-07 14:30:00;0
2025-04-07 14:00:00;6
2025-04-07 13:30:00;272
2025-04-07 13:00:00;294
2025-04-07 12:30:00;78
2025-04-07 12:00:00;216
2025-04-07 11:30:00;184
2025-04-07 11:00:00;46
2025-04-07 10:30:00;2082
2025-04-07 10:00:00;1050
2025-04-07 09:30:00;34
2025-04-07 09:00:00;224
2025-04-07 08:30:00;142
2025-04-07 08:00:00;170
2025-04-07 07:30:00;162
2025-04-07 07:00:00;70
2025-04-07 06:30:00;176
2025-04-07 06:00:00;210
2025-04-07 05:30:00;134
2025-04-07 05:00:00;146
2025-04-07 04:30:00;128
2025-04-07 04:00:00;178
2025-04-07 03:30:00;106
2025-04-07 03:00:00;206
2025-04-07 02:30:00;212
2025-04-07 02:00:00;94
2025-04-07 01:30:00;170
2025-04-07 01:00:00;122
2025-04-07 00:30:00;2078
2025-04-06 00:00:00;454
2025-04-06 23:30:00;114
2025-04-06 23:00:00;364
2025-04-06 22:30:00;322
2025-04-06 22:00:00;404
2025-04-06 21:30:00;304
2025-04-06 21:00:00;232
2025-04-06 20:30:00;126
2025-04-06 20:00:00;616
2025-04-06 19:30:00;0
2025-04-06 19:00:00;0
2025-04-06 18:30:00;0
2025-04-06 18:00:00;0
2025-04-06 17:30:00;0
2025-04-06 17:00:00;0
2025-04-06 16:30:00;0
2025-04-06 16:00:00;0
2025-04-06 15:30:00;0
2025-04-06 15:00:00;0
2025-04-06 14:30:00;0
2025-04-06 14:00:00;0
2025-04-06 13:30:00;0
2025-04-06 13:00:00;0
2025-04-06 12:30:00;0
2025-04-06 12:00:00;0
2025-04-06 11:30:00;0
2025-04-06 11:00:00;0
2025-04-06 10:30:00;0
2025-04-06 10:00:00;84
2025-04-06 09:30:00;458
2025-04-06 09:00:00;832
2025-04-06 08:30:00;926
2025-04-06 08:00:00;242
2025-04-06 07:30:00;188
2025-04-06 07:00:00;134
2025-04-06 06:30:00;272
2025-04-06 06:00:00;804
2025-04-06 05:30:00;214
2025-04-06 05:00:00;170
2025-04-06 04:30:00;90
2025-04-06 04:00:00;160
2025-04-06 03:30:00;168
2025-04-06 03:00:00;92
2025-04-06 02:30:00;254
2025-04-06 02:00:00;126
2025-04-06 01:30:00;118
2025-04-06 01:00:00;142
2025-04-06 00:30:00;1784
2025-04-05 00:00:00;416
2025-04-05 23:30:00;154
2025-04-05 23:00:00;186
2025-04-05 22:30:00;158
2025-04-05 22:00:00;152
2025-04-05 21:30:00;158
2025-04-05 21:00:00;120
2025-04-05 20:30:00;158
2025-04-05 20:00:00;102
2025-04-05 19:30:00;0
2025-04-05 19:00:00;0
2025-04-05 18:30:00;0
2025-04-05 18:00:00;0
2025-04-05 17:30:00;0
2025-04-05 17:00:00;0
2025-04-05 16:30:00;0
2025-04-05 16:00:00;0
2025-04-05 15:30:00;0
2025-04-05 15:00:00;0
2025-04-05 14:30:00;0
2025-04-05 14:00:00;0
2025-04-05 13:30:00;0
2025-04-05 13:00:00;0
2025-04-05 12:30:00;0
2025-04-05 12:00:00;0
2025-04-05 11:30:00;0
2025-04-05 11:00:00;0
2025-04-05 10:30:00;46
2025-04-05 10:00:00;262
2025-04-05 09:30:00;430
2025-04-05 09:00:00;154
2025-04-05 08:30:00;50
2025-04-05 08:00:00;196
2025-04-05 07:30:00;126
2025-04-05 07:00:00;316
2025-04-05 06:30:00;742
2025-04-05 06:00:00;778
2025-04-05 05:30:00;592
2025-04-05 05:00:00;108
2025-04-05 04:30:00;160
2025-04-05 04:00:00;156
2025-04-05 03:30:00;136
2025-04-05 03:00:00;196
2025-04-05 02:30:00;164
2025-04-05 02:00:00;160
2025-04-05 01:30:00;94
2025-04-05 01:00:00;134
2025-04-05 00:30:00;170
2025-04-04 00:00:00;188
2025-04-04 23:30:00;1758
2025-04-04 23:00:00;426
2025-04-04 22:30:00;168
2025-04-04 22:00:00;168
2025-04-04 21:30:00;112
2025-04-04 21:00:00;172
2025-04-04 20:30:00;126
2025-04-04 20:00:00;116
2025-04-04 19:30:00;50
2025-04-04 19:00:00;0
2025-04-04 18:30:00;12
2025-04-04 18:00:00;0
2025-04-04 17:30:00;0
2025-04-04 17:00:00;0
2025-04-04 16:30:00;0
2025-04-04 16:00:00;0
2025-04-04 15:30:00;0
2025-04-04 15:00:00;0
2025-04-04 14:30:00;0
2025-04-04 14:00:00;0
2025-04-04 13:30:00;0
2025-04-04 13:00:00;0
2025-04-04 12:30:00;0
2025-04-04 12:00:00;0
2025-04-04 11:30:00;0
2025-04-04 11:00:00;4
2025-04-04 10:30:00;144
2025-04-04 10:00:00;530
2025-04-04 09:30:00;580
2025-04-04 09:00:00;104
2025-04-04 08:30:00;84
2025-04-04 08:00:00;106
2025-04-04 07:30:00;132
2025-04-04 07:00:00;186
2025-04-04 06:30:00;674
2025-04-04 06:00:00;694
2025-04-04 05:30:00;144
2025-04-04 05:00:00;126
2025-04-04 04:30:00;104
2025-04-04 04:00:00;114
2025-04-04 03:30:00;194
2025-04-04 03:00:00;550
2025-04-04 02:30:00;888
2025-04-04 02:00:00;510
2025-04-04 01:30:00;88
2025-04-04 01:00:00;152
2025-04-04 00:30:00;116
2025-04-03 00:00:00;104
2025-04-03 23:30:00;464
