
Récapitulatif de ma Puissance max


Puissance max quotidienne

Date de la puissance max;Puissance max (VA)
23/05/2025;2710
22/05/2025;2530
21/05/2025;3450
20/05/2025;2340
19/05/2025;1660
18/05/2025;1890
16/05/2025;2520
15/05/2025;2670
14/05/2025;2480
13/05/2025;2560
12/05/2025;2520
11/05/2025;2040
10/05/2025;5020
09/05/2025;1610
07/05/2025;2570
06/05/2025;2780
05/05/2025;2470
04/05/2025;1590
03/05/2025;1460
02/05/2025;2140
01/05/2025;2330
30/04/2025;2270
29/04/2025;2000
28/04/2025;1720
27/04/2025;1760
26/04/2025;3540
25/04/2025;2220
24/04/2025;2300
23/04/2025;2250
22/04/2025;2360
21/04/2025;2410
20/04/2025;2700
19/04/2025;3600
18/04/2025;2230
17/04/2025;2670
16/04/2025;2310
15/04/2025;3750
14/04/2025;3650
13/04/2025;3870
12/04/2025;3400
11/04/2025;3790
10/04/2025;2420
09/04/2025;3400
08/04/2025;3900
07/04/2025;2630
06/04/2025;1630
04/04/2025;2260
03/04/2025;2190
02/04/2025;2170
01/04/2025;1910
31/03/2025;2980
30/03/2025;3130
29/03/2025;4040
28/03/2025;3550
27/03/2025;2860
26/03/2025;3120


Puissance max mensuelle

Date de la puissance max;Puissance max mensuelle (VA) recalculée à partir des Pmax journalières disponibles
05/2025;5020
04/2025;3900
03/2025;4040


Puissance max annuelle

Date de la puissance max;Puissance max annuelle (VA) recalculée à partir des Pmax mensuelles disponibles
2025;5020

