
Récapitulatif de ma consommation

Période de consommation;Consommation (kWh);Nature de la donnée

Année 2025;2 236;
08/2025;166;Réelle
07/2025;162;Réelle
06/2025;140;Réelle
05/2025;152;Réelle
04/2025;189;Réelle
03/2025;370;Estimée
02/2025;451;Estimée
01/2025;606;Estimée

Année 2024;3 538;
12/2024;529;Estimée
11/2024;417;Estimée
10/2024;302;Estimée
09/2024;208;Estimée
08/2024;162;Estimée
07/2024;158;Estimée
06/2024;164;Estimée
05/2024;200;Estimée
04/2024;270;Estimée
03/2024;330;Estimée
02/2024;321;Estimée
01/2024;477;Estimée

Année 2023;3 053;
12/2023;420;Estimée
11/2023;295;Estimée
10/2023;182;Estimée
09/2023;180;Estimée
08/2023;181;Estimée
07/2023;167;Estimée
06/2023;157;Estimée
05/2023;162;Estimée
04/2023;202;Estimée
03/2023;278;Estimée
02/2023;370;Estimée
01/2023;459;Estimée

Année 2022;1 188;
12/2022;584;Estimée
11/2022;333;Estimée
10/2022;244;Estimée
09/2022;27;Estimée

