
Récapitulatif de mes index

Date de relevé de l'index;Type d'index;Index (kWh)
02/09/2025;Index transmis par le distributeur;16230
01/09/2025;Index transmis par le distributeur;16222
31/08/2025;Index transmis par le distributeur;16214
30/08/2025;Index transmis par le distributeur;16204
29/08/2025;Index transmis par le distributeur;16199
28/08/2025;Index transmis par le distributeur;16194
27/08/2025;Index transmis par le distributeur;16189
26/08/2025;Index transmis par le distributeur;16183
25/08/2025;Index transmis par le distributeur;16179
24/08/2025;Index transmis par le distributeur;16174
23/08/2025;Index transmis par le distributeur;16169
22/08/2025;Index transmis par le distributeur;16164
21/08/2025;Index transmis par le distributeur;16160
20/08/2025;Index transmis par le distributeur;16151
19/08/2025;Index transmis par le distributeur;16146
18/08/2025;Index transmis par le distributeur;16141
17/08/2025;Index transmis par le distributeur;16136
16/08/2025;Index transmis par le distributeur;16133
15/08/2025;Index transmis par le distributeur;16127
14/08/2025;Index transmis par le distributeur;16120
13/08/2025;Index transmis par le distributeur;16114
12/08/2025;Index transmis par le distributeur;16110
11/08/2025;Index transmis par le distributeur;16106
10/08/2025;Index transmis par le distributeur;16101
09/08/2025;Index transmis par le distributeur;16097
08/08/2025;Index transmis par le distributeur;16093
07/08/2025;Index transmis par le distributeur;16088
06/08/2025;Index transmis par le distributeur;16084
05/08/2025;Index transmis par le distributeur;16079
04/08/2025;Index transmis par le distributeur;16074
03/08/2025;Index transmis par le distributeur;16070
02/08/2025;Index transmis par le distributeur;16065
01/08/2025;Index transmis par le distributeur;16057
31/07/2025;Index transmis par le distributeur;16050
30/07/2025;Index transmis par le distributeur;16042
29/07/2025;Index transmis par le distributeur;16035
28/07/2025;Index transmis par le distributeur;16029
27/07/2025;Index transmis par le distributeur;16021
26/07/2025;Index transmis par le distributeur;16015
25/07/2025;Index transmis par le distributeur;16011
24/07/2025;Index transmis par le distributeur;16005
23/07/2025;Index transmis par le distributeur;15999
22/07/2025;Index transmis par le distributeur;15995
21/07/2025;Index transmis par le distributeur;15989
20/07/2025;Index transmis par le distributeur;15985
19/07/2025;Index transmis par le distributeur;15980
18/07/2025;Index transmis par le distributeur;15974
17/07/2025;Index transmis par le distributeur;15971
16/07/2025;Index transmis par le distributeur;15967
15/07/2025;Index transmis par le distributeur;15962
14/07/2025;Index transmis par le distributeur;15958
13/07/2025;Index transmis par le distributeur;15953
12/07/2025;Index transmis par le distributeur;15946
11/07/2025;Index transmis par le distributeur;15940
10/07/2025;Index transmis par le distributeur;15935
09/07/2025;Index transmis par le distributeur;15930
08/07/2025;Index transmis par le distributeur;15924
07/07/2025;Index transmis par le distributeur;15918
06/07/2025;Index transmis par le distributeur;15915
05/07/2025;Index transmis par le distributeur;15911
04/07/2025;Index transmis par le distributeur;15907
03/07/2025;Index transmis par le distributeur;15902
02/07/2025;Index transmis par le distributeur;15898
01/07/2025;Index transmis par le distributeur;15894
30/06/2025;Index transmis par le distributeur;15890
29/06/2025;Index transmis par le distributeur;15886
28/06/2025;Index transmis par le distributeur;15881
27/06/2025;Index transmis par le distributeur;15876
26/06/2025;Index transmis par le distributeur;15871
25/06/2025;Index transmis par le distributeur;15866
24/06/2025;Index transmis par le distributeur;15862
23/06/2025;Index transmis par le distributeur;15858
22/06/2025;Index transmis par le distributeur;15855
21/06/2025;Index transmis par le distributeur;15851
20/06/2025;Index transmis par le distributeur;15845
19/06/2025;Index transmis par le distributeur;15842
18/06/2025;Index transmis par le distributeur;15837
17/06/2025;Index transmis par le distributeur;15832
16/06/2025;Index transmis par le distributeur;15828
15/06/2025;Index transmis par le distributeur;15822
14/06/2025;Index transmis par le distributeur;15816
