datetime;production
2025-03-25 09:45:00;163
2025-03-25 10:00:00;220
2025-03-25 10:15:00;197
2025-03-25 10:30:00;306
2025-03-25 10:45:00;331
2025-03-25 11:00:00;437
2025-03-25 11:15:00;210
2025-03-25 11:30:00;232
2025-03-25 11:45:00;283
2025-03-25 12:00:00;283
2025-03-25 12:15:00;286
2025-03-25 12:30:00;370
2025-03-25 12:45:00;353
2025-03-25 13:00:00;438
2025-03-25 13:15:00;659
2025-03-25 13:30:00;976
2025-03-25 13:45:00;601
2025-03-25 14:00:00;416
2025-03-25 14:15:00;557
2025-03-25 14:30:00;633
2025-03-25 14:45:00;584
2025-03-25 15:00:00;455
2025-03-25 15:15:00;326
2025-03-25 15:30:00;936
2025-03-25 15:45:00;418
2025-03-25 16:00:00;256
2025-03-25 16:15:00;479
2025-03-25 16:30:00;185
2025-03-25 16:45:00;160
2025-03-25 17:00:00;177
2025-03-25 17:15:00;207
2025-03-25 17:30:00;160
2025-03-25 17:45:00;83
2025-03-25 18:00:00;79
2025-03-25 18:15:00;66
2025-03-25 18:30:00;18
2025-03-25 18:45:00;29
2025-03-25 19:00:00;26
2025-03-25 19:15:00;3
2025-03-25 19:30:00;0
2025-03-25 19:45:00;0
2025-03-26 07:00:00;0
2025-03-26 07:15:00;8
2025-03-26 07:30:00;33
2025-03-26 07:45:00;58
2025-03-26 08:00:00;79
2025-03-26 08:15:00;123
2025-03-26 08:30:00;148
2025-03-26 08:45:00;173
2025-03-26 09:00:00;147
2025-03-26 09:15:00;214
2025-03-26 09:30:00;217
2025-03-26 09:45:00;276
2025-03-26 10:00:00;302
2025-03-26 10:15:00;361
2025-03-26 10:30:00;530
2025-03-26 10:45:00;304
2025-03-26 11:00:00;432
2025-03-26 11:15:00;629
2025-03-26 11:30:00;679
2025-03-26 11:45:00;994
2025-03-26 12:00:00;353
2025-03-26 12:15:00;698
2025-03-26 12:30:00;681
2025-03-26 12:45:00;485
2025-03-26 13:00:00;1167
2025-03-26 13:15:00;889
2025-03-26 13:30:00;1784
2025-03-26 13:45:00;727
2025-03-26 14:00:00;1052
2025-03-26 14:15:00;694
2025-03-26 14:30:00;642
2025-03-26 14:45:00;1483
2025-03-26 15:00:00;490
2025-03-26 15:15:00;137
2025-03-26 15:30:00;135
2025-03-26 15:45:00;185
2025-03-26 16:00:00;251
2025-03-26 16:15:00;374
2025-03-26 16:30:00;335
2025-03-26 16:45:00;324
2025-03-26 17:00:00;272
2025-03-26 17:15:00;214
2025-03-26 17:30:00;148
2025-03-26 17:45:00;156
2025-03-26 18:00:00;156
2025-03-26 18:15:00;124
2025-03-26 18:30:00;88
2025-03-26 18:45:00;63
2025-03-26 19:00:00;50
2025-03-26 19:15:00;20
2025-03-26 19:30:00;3
2025-03-26 19:45:00;0
2025-03-26 20:00:00;0
2025-03-27 07:00:00;5
2025-03-27 07:15:00;25
2025-03-27 07:30:00;53
2025-03-27 07:45:00;68
2025-03-27 08:00:00;82
2025-03-27 08:15:00;110
2025-03-27 08:30:00;194
2025-03-27 08:45:00;247
2025-03-27 09:00:00;283
2025-03-27 09:15:00;420
2025-03-27 09:30:00;624
2025-03-27 09:45:00;584
2025-03-27 10:00:00;1456
2025-03-27 10:15:00;1372
2025-03-27 10:30:00;1462
2025-03-27 10:45:00;1570
2025-03-27 11:00:00;1613
2025-03-27 11:15:00;1747
2025-03-27 11:30:00;790
2025-03-27 11:45:00;1998
2025-03-27 12:00:00;584
2025-03-27 12:15:00;1923
2025-03-27 12:30:00;2048
2025-03-27 12:45:00;2004
2025-03-27 13:00:00;1914
2025-03-27 13:15:00;1947
2025-03-27 13:30:00;1986
2025-03-27 13:45:00;1905
2025-03-27 14:00:00;1892
2025-03-27 14:15:00;1878
2025-03-27 14:30:00;1846
2025-03-27 14:45:00;1788
2025-03-27 15:00:00;1710
2025-03-27 15:15:00;1626
2025-03-27 15:30:00;1579
2025-03-27 15:45:00;1496
2025-03-27 16:00:00;1402
2025-03-27 16:15:00;1305
2025-03-27 16:30:00;1194
2025-03-27 16:45:00;1090
2025-03-27 17:00:00;971
2025-03-27 17:15:00;844
2025-03-27 17:30:00;716
2025-03-27 17:45:00;586
2025-03-27 18:00:00;448
2025-03-27 18:15:00;309
2025-03-27 18:30:00;190
2025-03-27 18:45:00;102
2025-03-27 19:00:00;49
2025-03-27 19:15:00;23
2025-03-27 19:30:00;3
2025-03-27 19:45:00;0
2025-03-27 20:00:00;0
2025-03-28 06:45:00;0
2025-03-28 07:00:00;6
2025-03-28 07:15:00;35
2025-03-28 07:30:00;57
2025-03-28 07:45:00;80
2025-03-28 08:00:00;104
2025-03-28 08:15:00;174
2025-03-28 08:30:00;182
2025-03-28 08:45:00;241
2025-03-28 09:00:00;503
2025-03-28 09:15:00;458
2025-03-28 09:30:00;390
2025-03-28 09:45:00;557
2025-03-28 10:00:00;426
2025-03-28 10:15:00;361
2025-03-28 10:30:00;359
2025-03-28 10:45:00;211
2025-03-28 11:00:00;213
2025-03-28 11:15:00;366
2025-03-28 11:30:00;218
2025-03-28 11:45:00;130
2025-03-28 12:00:00;145
2025-03-28 12:15:00;180
2025-03-28 12:30:00;211
2025-03-28 12:45:00;218
2025-03-28 13:00:00;606
2025-03-28 13:15:00;906
2025-03-28 13:30:00;663
2025-03-28 13:45:00;297
2025-03-28 14:00:00;375
2025-03-28 14:15:00;258
2025-03-28 14:30:00;111
2025-03-28 14:45:00;670
2025-03-28 15:00:00;2000
2025-03-28 15:15:00;932
2025-03-28 15:30:00;575
2025-03-28 15:45:00;707
2025-03-28 16:00:00;315
2025-03-28 16:15:00;1424
2025-03-28 16:30:00;1361
2025-03-28 16:45:00;304
2025-03-28 17:00:00;1162
2025-03-28 17:15:00;1062
2025-03-28 17:30:00;846
2025-03-28 17:45:00;630
2025-03-28 18:00:00;315
2025-03-28 18:15:00;452
2025-03-28 18:30:00;230
2025-03-28 18:45:00;192
2025-03-28 19:00:00;48
2025-03-28 19:15:00;18
2025-03-28 19:30:00;6
2025-03-28 19:45:00;0
2025-03-28 20:00:00;0
2025-03-29 06:45:00;0
2025-03-29 07:00:00;14
2025-03-29 07:15:00;31
2025-03-29 07:30:00;49
2025-03-29 07:45:00;72
2025-03-29 08:00:00;114
2025-03-29 08:15:00;168
2025-03-29 08:30:00;141
2025-03-29 08:45:00;131
2025-03-29 09:00:00;149
2025-03-29 09:15:00;166
2025-03-29 09:30:00;244
2025-03-29 09:45:00;1038
2025-03-29 10:00:00;1323
2025-03-29 10:15:00;1433
2025-03-29 10:30:00;615
2025-03-29 10:45:00;1806
2025-03-29 11:00:00;1829
2025-03-29 11:15:00;437
2025-03-29 11:30:00;1678
2025-03-29 11:45:00;1490
2025-03-29 12:00:00;1547
2025-03-29 12:15:00;1735
2025-03-29 12:30:00;1937
2025-03-29 12:45:00;690
2025-03-29 13:00:00;794
2025-03-29 13:15:00;2244
2025-03-29 13:30:00;2174
2025-03-29 13:45:00;2118
2025-03-29 14:00:00;1720
2025-03-29 14:15:00;2024
2025-03-29 14:30:00;2012
2025-03-29 14:45:00;415
2025-03-29 15:00:00;1796
2025-03-29 15:15:00;1664
2025-03-29 15:30:00;1658
2025-03-29 15:45:00;1256
2025-03-29 16:00:00;1490
2025-03-29 16:15:00;1338
2025-03-29 16:30:00;1211
2025-03-29 16:45:00;1117
2025-03-29 17:00:00;162
2025-03-29 17:15:00;184
2025-03-29 17:30:00;414
2025-03-29 17:45:00;467
2025-03-29 18:00:00;488
2025-03-29 18:15:00;129
2025-03-29 18:30:00;109
2025-03-29 18:45:00;124
2025-03-29 19:00:00;59
2025-03-29 19:15:00;24
2025-03-29 19:30:00;3
2025-03-29 19:45:00;0
2025-03-29 20:00:00;0
2025-03-30 08:00:00;4
2025-03-30 08:15:00;24
2025-03-30 08:30:00;46
2025-03-30 08:45:00;86
2025-03-30 09:00:00;125
2025-03-30 09:15:00;175
2025-03-30 09:30:00;237
2025-03-30 09:45:00;260
2025-03-30 10:00:00;255
2025-03-30 10:15:00;243
2025-03-30 10:30:00;269
2025-03-30 10:45:00;432
2025-03-30 11:00:00;309
2025-03-30 11:15:00;376
2025-03-30 11:30:00;362
2025-03-30 11:45:00;345
2025-03-30 12:00:00;329
2025-03-30 12:15:00;360
2025-03-30 12:30:00;371
2025-03-30 12:45:00;645
2025-03-30 13:00:00;653
2025-03-30 13:15:00;2242
2025-03-30 13:30:00;853
2025-03-30 13:45:00;627
2025-03-30 14:00:00;695
2025-03-30 14:15:00;2033
2025-03-30 14:30:00;1938
2025-03-30 14:45:00;1900
2025-03-30 15:00:00;1886
2025-03-30 15:15:00;1862
2025-03-30 15:30:00;1835
2025-03-30 15:45:00;1763
2025-03-30 16:00:00;1699
2025-03-30 16:15:00;1635
2025-03-30 16:30:00;1574
2025-03-30 16:45:00;1485
2025-03-30 17:00:00;1387
2025-03-30 17:15:00;1305
2025-03-30 17:30:00;1194
2025-03-30 17:45:00;1090
2025-03-30 18:00:00;961
2025-03-30 18:15:00;846
2025-03-30 18:30:00;704
2025-03-30 18:45:00;580
2025-03-30 19:00:00;446
2025-03-30 19:15:00;322
2025-03-30 19:30:00;204
2025-03-30 19:45:00;111
2025-03-30 20:00:00;57
2025-03-30 20:15:00;30
2025-03-30 20:30:00;10
2025-03-30 20:45:00;0
2025-03-30 21:00:00;0
2025-03-30 21:15:00;0
2025-03-31 07:45:00;4
2025-03-31 08:00:00;20
2025-03-31 08:15:00;40
2025-03-31 08:30:00;43
2025-03-31 08:45:00;103
2025-03-31 09:00:00;122
2025-03-31 09:15:00;182
2025-03-31 09:30:00;184
2025-03-31 09:45:00;177
2025-03-31 10:00:00;234
2025-03-31 10:15:00;244
2025-03-31 10:30:00;280
2025-03-31 10:45:00;406
2025-03-31 11:00:00;598
2025-03-31 11:15:00;659
2025-03-31 11:30:00;839
2025-03-31 11:45:00;521
2025-03-31 12:00:00;1854
2025-03-31 12:15:00;1821
2025-03-31 12:30:00;1825
2025-03-31 12:45:00;1846
2025-03-31 13:00:00;1891
2025-03-31 13:15:00;1910
2025-03-31 13:30:00;1934
2025-03-31 13:45:00;1957
2025-03-31 14:00:00;1952
2025-03-31 14:15:00;1942
2025-03-31 14:30:00;1921
2025-03-31 14:45:00;463
2025-03-31 15:00:00;2013
2025-03-31 15:15:00;1936
2025-03-31 15:30:00;1827
2025-03-31 15:45:00;1777
2025-03-31 16:00:00;1732
2025-03-31 16:15:00;1651
2025-03-31 16:30:00;1574
2025-03-31 16:45:00;1487
2025-03-31 17:00:00;1397
2025-03-31 17:15:00;1302
2025-03-31 17:30:00;1175
2025-03-31 17:45:00;1089
2025-03-31 18:00:00;964
2025-03-31 18:15:00;837
2025-03-31 18:30:00;710
2025-03-31 18:45:00;569
2025-03-31 19:00:00;435
2025-03-31 19:15:00;308
2025-03-31 19:30:00;199
2025-03-31 19:45:00;113
2025-03-31 20:00:00;60
2025-03-31 20:15:00;31
2025-03-31 20:30:00;10
2025-03-31 20:45:00;0
2025-03-31 21:00:00;0
2025-03-31 21:15:00;0
2025-04-01 07:45:00;5
2025-04-01 08:00:00;20
2025-04-01 08:15:00;37
2025-04-01 08:30:00;53
2025-04-01 08:45:00;72
2025-04-01 09:00:00;110
2025-04-01 09:15:00;190
2025-04-01 09:30:00;160
2025-04-01 09:45:00;137
2025-04-01 10:00:00;142
2025-04-01 10:15:00;163
2025-04-01 10:30:00;183
2025-04-01 10:45:00;1197
2025-04-01 11:00:00;1361
2025-04-01 11:15:00;1463
2025-04-01 11:30:00;1561
2025-04-01 11:45:00;1650
2025-04-01 12:00:00;1730
2025-04-01 12:15:00;1789
2025-04-01 12:30:00;1854
2025-04-01 12:45:00;1908
2025-04-01 13:00:00;1929
2025-04-01 13:15:00;1965
2025-04-01 13:30:00;1970
2025-04-01 13:45:00;1983
2025-04-01 14:00:00;1997
2025-04-01 14:15:00;1996
2025-04-01 14:30:00;2003
2025-04-01 14:45:00;1969
2025-04-01 15:00:00;1967
2025-04-01 15:15:00;1929
2025-04-01 15:30:00;1880
2025-04-01 15:45:00;1823
2025-04-01 16:00:00;1770
2025-04-01 16:15:00;1692
2025-04-01 16:30:00;1629
2025-04-01 16:45:00;1545
2025-04-01 17:00:00;1447
2025-04-01 17:15:00;1356
2025-04-01 17:30:00;1239
2025-04-01 17:45:00;1129
2025-04-01 18:00:00;1016
2025-04-01 18:15:00;883
2025-04-01 18:30:00;739
2025-04-01 18:45:00;604
2025-04-01 19:00:00;465
2025-04-01 19:15:00;333
2025-04-01 19:30:00;213
2025-04-01 19:45:00;117
2025-04-01 20:00:00;61
2025-04-01 20:15:00;34
2025-04-01 20:30:00;13
2025-04-01 20:45:00;0
2025-04-01 21:00:00;0
2025-04-01 21:15:00;0
2025-04-02 08:00:00;23
2025-04-02 08:15:00;41
2025-04-02 08:30:00;58
2025-04-02 08:45:00;78
2025-04-02 09:00:00;120
2025-04-02 09:15:00;194
2025-04-02 09:30:00;184
2025-04-02 09:45:00;150
2025-04-02 10:00:00;153
2025-04-02 10:15:00;169
2025-04-02 10:30:00;234
2025-04-02 10:45:00;1180
2025-04-02 11:00:00;1338
2025-04-02 11:15:00;1426
2025-04-02 11:30:00;1513
2025-04-02 11:45:00;1606
2025-04-02 12:00:00;1665
2025-04-02 12:15:00;1740
2025-04-02 12:30:00;1809
2025-04-02 12:45:00;1850
2025-04-02 13:00:00;1882
2025-04-02 13:15:00;1900
2025-04-02 13:30:00;1934
2025-04-02 13:45:00;1964
2025-04-02 14:00:00;1977
2025-04-02 14:15:00;1966
2025-04-02 14:30:00;1939
2025-04-02 14:45:00;1941
2025-04-02 15:00:00;1903
2025-04-02 15:15:00;1871
2025-04-02 15:30:00;1810
2025-04-02 15:45:00;1783
2025-04-02 16:00:00;1744
2025-04-02 16:15:00;1692
2025-04-02 16:30:00;1561
2025-04-02 16:45:00;540
2025-04-02 17:00:00;593
2025-04-02 17:15:00;1473
2025-04-02 17:30:00;549
2025-04-02 17:45:00;1144
2025-04-02 18:00:00;293
2025-04-02 18:15:00;213
2025-04-02 18:30:00;113
2025-04-02 18:45:00;33
2025-04-02 19:00:00;49
2025-04-02 19:15:00;74
2025-04-02 19:30:00;114
2025-04-02 19:45:00;68
2025-04-02 20:00:00;26
2025-04-02 20:15:00;7
2025-04-02 20:30:00;0
2025-04-02 20:45:00;0
2025-04-03 07:45:00;5
2025-04-03 08:00:00;15
2025-04-03 08:15:00;19
2025-04-03 08:30:00;22
2025-04-03 08:45:00;41
2025-04-03 09:00:00;28
2025-04-03 09:15:00;36
2025-04-03 09:30:00;83
2025-04-03 09:45:00;85
2025-04-03 10:00:00;85
2025-04-03 10:15:00;134
2025-04-03 10:30:00;84
2025-04-03 10:45:00;86
2025-04-03 11:00:00;82
2025-04-03 11:15:00;95
2025-04-03 11:30:00;122
2025-04-03 11:45:00;163
2025-04-03 12:00:00;148
2025-04-03 12:15:00;152
2025-04-03 12:30:00;169
2025-04-03 12:45:00;199
2025-04-03 13:00:00;272
2025-04-03 13:15:00;113
2025-04-03 13:30:00;176
2025-04-03 13:45:00;141
2025-04-03 14:00:00;184
2025-04-03 14:15:00;175
2025-04-03 14:30:00;143
2025-04-03 14:45:00;258
2025-04-03 15:00:00;365
2025-04-03 15:15:00;347
2025-04-03 15:30:00;391
2025-04-03 15:45:00;392
2025-04-03 16:00:00;358
2025-04-03 16:15:00;508
2025-04-03 16:30:00;462
2025-04-03 16:45:00;257
2025-04-03 17:00:00;326
2025-04-03 17:15:00;293
2025-04-03 17:30:00;400
2025-04-03 17:45:00;337
2025-04-03 18:00:00;217
2025-04-03 18:15:00;293
2025-04-03 18:30:00;382
2025-04-03 18:45:00;255
2025-04-03 19:00:00;110
2025-04-03 19:15:00;216
2025-04-03 19:30:00;159
2025-04-03 19:45:00;93
2025-04-03 20:00:00;31
2025-04-03 20:15:00;20
2025-04-03 20:30:00;9
2025-04-03 20:45:00;0
2025-04-03 21:00:00;0
2025-04-03 21:15:00;0
2025-04-04 07:45:00;10
2025-04-04 08:00:00;24
2025-04-04 08:15:00;46
2025-04-04 08:30:00;82
2025-04-04 08:45:00;132
2025-04-04 09:00:00;177
2025-04-04 09:15:00;209
2025-04-04 09:30:00;163
2025-04-04 09:45:00;181
2025-04-04 10:00:00;187
2025-04-04 10:15:00;442
2025-04-04 10:30:00;238
2025-04-04 10:45:00;299
2025-04-04 11:00:00;520
2025-04-04 11:15:00;599
2025-04-04 11:30:00;891
2025-04-04 11:45:00;1606
2025-04-04 12:00:00;1594
2025-04-04 12:15:00;1617
2025-04-04 12:30:00;1601
2025-04-04 12:45:00;1795
2025-04-04 13:00:00;1901
2025-04-04 13:15:00;1252
2025-04-04 13:30:00;1454
2025-04-04 13:45:00;1275
2025-04-04 14:00:00;1857
2025-04-04 14:15:00;1877
2025-04-04 14:30:00;1779
2025-04-04 14:45:00;1838
2025-04-04 15:00:00;1722
2025-04-04 15:15:00;1796
2025-04-04 15:30:00;773
2025-04-04 15:45:00;682
2025-04-04 16:00:00;415
2025-04-04 16:15:00;493
2025-04-04 16:30:00;387
2025-04-04 16:45:00;427
2025-04-04 17:00:00;550
2025-04-04 17:15:00;429
2025-04-04 17:30:00;529
2025-04-04 17:45:00;409
2025-04-04 18:00:00;253
2025-04-04 18:15:00;214
2025-04-04 18:30:00;264
2025-04-04 18:45:00;187
2025-04-04 19:00:00;165
2025-04-04 19:15:00;142
2025-04-04 19:30:00;118
2025-04-04 19:45:00;82
2025-04-04 20:00:00;58
2025-04-04 20:15:00;45
2025-04-04 20:30:00;9
2025-04-04 20:45:00;0
2025-04-04 21:00:00;0
2025-04-04 21:15:00;0
2025-04-05 07:30:00;0
2025-04-05 07:45:00;7
2025-04-05 08:00:00;17
2025-04-05 08:15:00;37
2025-04-05 08:30:00;69
2025-04-05 08:45:00;114
2025-04-05 09:00:00;164
2025-04-05 09:15:00;193
2025-04-05 09:30:00;222
2025-04-05 09:45:00;315
2025-04-05 10:00:00;389
2025-04-05 10:15:00;407
2025-04-05 10:30:00;487
2025-04-05 10:45:00;1043
2025-04-05 11:00:00;647
2025-04-05 11:15:00;595
2025-04-05 11:30:00;521
2025-04-05 11:45:00;871
2025-04-05 12:00:00;987
2025-04-05 12:15:00;1199
2025-04-05 12:30:00;1646
2025-04-05 12:45:00;1696
2025-04-05 13:00:00;1726
2025-04-05 13:15:00;1731
2025-04-05 13:30:00;1766
2025-04-05 13:45:00;1898
2025-04-05 14:00:00;1803
2025-04-05 14:15:00;1815
2025-04-05 14:30:00;1817
2025-04-05 14:45:00;1852
2025-04-05 15:00:00;1778
2025-04-05 15:15:00;1736
2025-04-05 15:30:00;1638
2025-04-05 15:45:00;1590
2025-04-05 16:00:00;1544
2025-04-05 16:15:00;1487
2025-04-05 16:30:00;1407
2025-04-05 16:45:00;1369
2025-04-05 17:00:00;692
2025-04-05 17:15:00;1152
2025-04-05 17:30:00;1014
2025-04-05 17:45:00;888
2025-04-05 18:00:00;795
2025-04-05 18:15:00;680
2025-04-05 18:30:00;551
2025-04-05 18:45:00;445
2025-04-05 19:00:00;332
2025-04-05 19:15:00;247
2025-04-05 19:30:00;174
2025-04-05 19:45:00;117
2025-04-05 20:00:00;73
2025-04-05 20:15:00;39
2025-04-05 20:30:00;15
2025-04-05 20:45:00;3
2025-04-05 21:00:00;0
2025-04-05 21:15:00;0
2025-04-06 07:45:00;15
2025-04-06 08:00:00;36
2025-04-06 08:15:00;63
2025-04-06 08:30:00;89
2025-04-06 08:45:00;113
