Plant Name,Time,Production (W)
Guillaume,2025-03-27 07:00,5
Guillaume,2025-03-27 07:15,25
Guillaume,2025-03-27 07:30,53
Guillaume,2025-03-27 07:45,68
Guillaume,2025-03-27 08:00,82
Guillaume,2025-03-27 08:15,110
Guillaume,2025-03-27 08:30,194
Guillaume,2025-03-27 08:45,247
Guillaume,2025-03-27 09:00,283
Guillaume,2025-03-27 09:15,420
Guillaume,2025-03-27 09:30,624
Guillaume,2025-03-27 09:45,584
Guillaume,2025-03-27 10:00,1456
Guillaume,2025-03-27 10:15,1372
Guillaume,2025-03-27 10:30,1462
Guillaume,2025-03-27 10:45,1570
Guillaume,2025-03-27 11:00,1613
Guillaume,2025-03-27 11:15,1747
Guillaume,2025-03-27 11:30,790
Guillaume,2025-03-27 11:45,1998
Guillaume,2025-03-27 12:00,584
Guillaume,2025-03-27 12:15,1923
Guillaume,2025-03-27 12:30,2048
Guillaume,2025-03-27 12:45,2004
Guillaume,2025-03-27 13:00,1914
Guillaume,2025-03-27 13:15,1947
Guillaume,2025-03-27 13:30,1986
Guillaume,2025-03-27 13:45,1905
Guillaume,2025-03-27 14:00,1892
Guillaume,2025-03-27 14:15,1878
Guillaume,2025-03-27 14:30,1846
Guillaume,2025-03-27 14:45,1788
Guillaume,2025-03-27 15:00,1710
Guillaume,2025-03-27 15:15,1626
Guillaume,2025-03-27 15:30,1579
Guillaume,2025-03-27 15:45,1496
Guillaume,2025-03-27 16:00,1402
Guillaume,2025-03-27 16:15,1305
Guillaume,2025-03-27 16:30,1194
Guillaume,2025-03-27 16:45,1090
Guillaume,2025-03-27 17:00,971
Guillaume,2025-03-27 17:15,844
Guillaume,2025-03-27 17:30,716
Guillaume,2025-03-27 17:45,586
Guillaume,2025-03-27 18:00,448
Guillaume,2025-03-27 18:15,309
Guillaume,2025-03-27 18:30,190
Guillaume,2025-03-27 18:45,102
Guillaume,2025-03-27 19:00,49
Guillaume,2025-03-27 19:15,23
Guillaume,2025-03-27 19:30,3
Guillaume,2025-03-27 19:45,0
Guillaume,2025-03-27 20:00,0
