Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-06-30 00:00,0,0
Guillaume,2025-06-30 01:00,0,0
Guillaume,2025-06-30 02:00,0,0
Guillaume,2025-06-30 03:00,0,0
Guillaume,2025-06-30 04:00,0,0
Guillaume,2025-06-30 05:00,0,0
Guillaume,2025-06-30 06:00,0,0
Guillaume,2025-06-30 07:00,0,0
Guillaume,2025-06-30 08:00,70,0
Guillaume,2025-06-30 08:15,80,0
Guillaume,2025-06-30 08:30,90,0
Guillaume,2025-06-30 08:45,126,0
Guillaume,2025-06-30 09:00,323,0
Guillaume,2025-06-30 09:15,528,0
Guillaume,2025-06-30 09:30,635,0
Guillaume,2025-06-30 09:45,749,0
Guillaume,2025-06-30 10:00,846,0
Guillaume,2025-06-30 10:15,939,0
Guillaume,2025-06-30 10:30,1032,0
Guillaume,2025-06-30 10:45,1112,0
Guillaume,2025-06-30 11:00,1187,0
Guillaume,2025-06-30 11:15,1259,0
Guillaume,2025-06-30 11:30,1325,0
Guillaume,2025-06-30 11:45,1388,0
Guillaume,2025-06-30 12:00,1453,0
Guillaume,2025-06-30 12:15,1489,0
Guillaume,2025-06-30 12:30,1546,0
Guillaume,2025-06-30 12:45,1591,0
Guillaume,2025-06-30 13:00,1628,0
Guillaume,2025-06-30 13:15,734,0
Guillaume,2025-06-30 13:30,1671,0
Guillaume,2025-06-30 13:45,1681,0
Guillaume,2025-06-30 14:00,1697,0
Guillaume,2025-06-30 14:15,1693,0
Guillaume,2025-06-30 14:30,1685,0
Guillaume,2025-06-30 14:45,1685,0
Guillaume,2025-06-30 15:00,1645,0
Guillaume,2025-06-30 15:15,1645,0
Guillaume,2025-06-30 15:30,1606,0
Guillaume,2025-06-30 15:45,1561,0
Guillaume,2025-06-30 16:00,1510,0
Guillaume,2025-06-30 16:15,1448,0
Guillaume,2025-06-30 16:30,1396,0
Guillaume,2025-06-30 16:45,1341,0
Guillaume,2025-06-30 17:00,1273,0
Guillaume,2025-06-30 17:15,1189,0
Guillaume,2025-06-30 17:30,1101,0
Guillaume,2025-06-30 17:45,1004,0
Guillaume,2025-06-30 18:00,902,0
Guillaume,2025-06-30 18:15,800,0
Guillaume,2025-06-30 18:30,696,0
Guillaume,2025-06-30 18:45,587,0
Guillaume,2025-06-30 19:00,481,0
Guillaume,2025-06-30 19:15,374,0
Guillaume,2025-06-30 19:30,257,0
Guillaume,2025-06-30 19:45,179,0
Guillaume,2025-06-30 20:00,130,0
Guillaume,2025-06-30 20:15,104,0
Guillaume,2025-06-30 20:30,92,0
Guillaume,2025-06-30 20:45,79,0
Guillaume,2025-06-30 21:00,65,0
Guillaume,2025-06-30 21:15,49,0
Guillaume,2025-06-30 21:30,33,0
Guillaume,2025-06-30 21:45,16,0
Guillaume,2025-06-30 22:00,3,0
Guillaume,2025-06-30 23:00,0,0
